run -all
# ========================================
# T13 DEBUG TEST START
# ========================================
# [55000][C0] STATE | in_v=1 in_r=0 | out_v=0 out_r=1
#                N01: R(v=0 r=0) D(v=0 r=0)
#                N02: D(v=0 r=0 data=0)
#                N11: R(v=0 r=0 data=0)
#                N12: L(v=0 r=0) U(v=0 r=0) D(v=0 r=0 data=0)
#                N22: U(v=0 r=0 data=0) D(v=0 r=1 data=0)
# ----------------------------------------------------------------
# [65000][C1] STATE | in_v=1 in_r=0 | out_v=0 out_r=1
#                N01: R(v=0 r=0) D(v=0 r=0)
#                N02: D(v=0 r=0 data=0)
#                N11: R(v=0 r=0 data=0)
#                N12: L(v=0 r=0) U(v=0 r=0) D(v=0 r=0 data=0)
#                N22: U(v=0 r=0 data=0) D(v=0 r=1 data=0)
# ----------------------------------------------------------------
# [75000][C2] [IN->N01] data=1
# [75000][C2] STATE | in_v=1 in_r=1 | out_v=0 out_r=1
#                N01: R(v=0 r=0) D(v=0 r=1)
#                N02: D(v=0 r=0 data=0)
#                N11: R(v=0 r=1 data=0)
#                N12: L(v=0 r=1) U(v=0 r=0) D(v=0 r=1 data=0)
#                N22: U(v=0 r=1 data=0) D(v=0 r=1 data=0)
# ----------------------------------------------------------------
# [80000] INPUT SENT: 1
# [85000][C3] STATE | in_v=0 in_r=0 | out_v=0 out_r=1
#                N01: R(v=0 r=0) D(v=0 r=1)
#                N02: D(v=0 r=0 data=0)
#                N11: R(v=0 r=1 data=0)
#                N12: L(v=0 r=1) U(v=0 r=0) D(v=0 r=1 data=0)
#                N22: U(v=0 r=1 data=0) D(v=0 r=1 data=0)
# ----------------------------------------------------------------
# [95000][C4] STATE | in_v=1 in_r=0 | out_v=0 out_r=1
#                N01: R(v=0 r=0) D(v=0 r=1)
#                N02: D(v=0 r=0 data=0)
#                N11: R(v=0 r=1 data=0)
#                N12: L(v=0 r=1) U(v=0 r=0) D(v=0 r=1 data=0)
#                N22: U(v=0 r=1 data=0) D(v=0 r=1 data=0)
# ----------------------------------------------------------------
# [105000][C5] STATE | in_v=1 in_r=0 | out_v=0 out_r=1
#                N01: R(v=0 r=0) D(v=0 r=1)
#                N02: D(v=0 r=0 data=0)
#                N11: R(v=0 r=1 data=0)
#                N12: L(v=0 r=1) U(v=0 r=0) D(v=0 r=1 data=0)
#                N22: U(v=0 r=1 data=0) D(v=0 r=1 data=0)
# ----------------------------------------------------------------
# [115000][C6] STATE | in_v=1 in_r=0 | out_v=0 out_r=1
#                N01: R(v=0 r=0) D(v=0 r=1)
#                N02: D(v=0 r=0 data=0)
#                N11: R(v=0 r=1 data=0)
#                N12: L(v=0 r=1) U(v=0 r=0) D(v=0 r=1 data=0)
#                N22: U(v=0 r=1 data=0) D(v=0 r=1 data=0)
# ----------------------------------------------------------------
# [125000][C7] STATE | in_v=1 in_r=0 | out_v=0 out_r=1
#                N01: R(v=0 r=0) D(v=0 r=1)
#                N02: D(v=0 r=0 data=0)
#                N11: R(v=0 r=1 data=0)
